,conv_hidden_channels,conv_num_layers,encoder_hidden_channels,encoder_num_layers,valid_loss
0,120,10,100,8,0.26173626339575
1,120,10,100,8,0.1408374420427091
2,120,10,100,8,0.25164992776425443
3,120,10,100,5,0.15717611627446282
4,120,10,100,5,0.41577742305960047
5,120,10,100,5,0.5106894742697478
6,120,10,100,3,0.15741496954701448
7,120,10,100,3,0.10490333013323663
8,120,10,100,3,0.0994643299785607
9,120,10,60,8,0.2533920691157991
10,120,10,60,8,0.20278077929863456
11,120,10,60,8,0.32017942954073936
12,120,10,60,5,0.14521966109934606
13,120,10,60,5,0.17393798185022255
14,120,10,60,5,0.11522843894713065
15,120,10,60,3,0.14457740087868176
16,120,10,60,3,0.14673873003332588
17,120,10,60,3,0.1403281358015888
18,120,10,20,8,0.3937386948375674
19,120,10,20,8,0.24612897586578514
20,120,10,20,8,0.42459804584436556
21,120,10,20,5,0.26500358284391157
22,120,10,20,5,0.1462726514181939
23,120,10,20,5,0.32843355459763723
24,120,10,20,3,0.3047714034498435
25,120,10,20,3,0.17499590969007267
26,120,10,20,3,0.19747459077659776
27,120,8,100,8,0.1819551815523913
28,120,8,100,8,0.19902852953177447
29,120,8,100,8,0.18952106963843107
30,120,8,100,5,0.15279029111503162
31,120,8,100,5,0.1423971605492614
32,120,8,100,5,0.22666558938867906
33,120,8,100,3,0.16989567575769293
34,120,8,100,3,0.11377041510235496
35,120,8,100,3,0.0989402662305271
36,120,8,60,8,0.2934746767083804
37,120,8,60,8,0.51938208401726
38,120,8,60,8,0.31627932818716065
39,120,8,60,5,0.13353720472918618
40,120,8,60,5,0.23198477838907325
41,120,8,60,5,0.3759942837059498
42,120,8,60,3,0.14696925349686055
43,120,8,60,3,0.13918209635810544
44,120,8,60,3,0.13148383824702572
45,120,8,20,8,0.47698130343131157
46,120,8,20,8,0.2852213725404084
47,120,8,20,8,0.28432463348350107
48,120,8,20,5,0.4796067972977956
49,120,8,20,5,0.384769010461039
50,120,8,20,5,0.3376658208777799
51,120,8,20,3,0.3779696238646556
52,120,8,20,3,0.12875610458179873
53,120,8,20,3,0.19850105521652628
54,120,4,100,8,0.19699525689346747
55,120,4,100,8,0.11987137322842378
56,120,4,100,8,0.4581720465027234
57,120,4,100,5,0.26575200061439075
58,120,4,100,5,0.21938678672352033
59,120,4,100,5,0.2925142382655074
60,120,4,100,3,0.1876617312997754
61,120,4,100,3,0.1529066182171915
62,120,4,100,3,0.08231005217222606
63,120,4,60,8,0.3853099586670859
64,120,4,60,8,0.11390757225236
65,120,4,60,8,0.19929931352243704
66,120,4,60,5,0.15708944672032407
67,120,4,60,5,0.13220747052664644
68,120,4,60,5,0.20924066171488342
69,120,4,60,3,0.23150306828973585
70,120,4,60,3,0.1559453301393149
71,120,4,60,3,0.09491716788752991
72,120,4,20,8,0.22999817531621247
73,120,4,20,8,0.5249787286272523
74,120,4,20,8,0.23880955763161182
75,120,4,20,5,0.29407224106488
76,120,4,20,5,0.4153035756483761
77,120,4,20,5,0.18350845950053019
78,120,4,20,3,0.22071481001704976
79,120,4,20,3,0.1655646815286045
80,120,4,20,3,0.1561849918873871
81,100,10,100,8,0.3221264553871768
82,100,10,100,8,0.15988740834750628
83,100,10,100,8,0.32811891673242344
84,100,10,100,5,0.1572506617297206
85,100,10,100,5,0.13218665007523625
86,100,10,100,5,0.10721337415058824
87,100,10,100,3,0.16331348820910815
88,100,10,100,3,0.16145522434983337
89,100,10,100,3,0.11841249384862536
90,100,10,60,8,0.2608236584877759
91,100,10,60,8,0.12700402253029638
92,100,10,60,8,0.26310136359842384
93,100,10,60,5,0.23349709983109035
94,100,10,60,5,0.17184905147953342
95,100,10,60,5,0.18410183734753552
96,100,10,60,3,0.23996687103171796
97,100,10,60,3,0.1158670121858343
98,100,10,60,3,0.20932990630321643
99,100,10,20,8,0.2629968538793207
100,100,10,20,8,0.16293099346129516
101,100,10,20,8,0.5090528068735319
102,100,10,20,5,0.4414532925301825
103,100,10,20,5,0.1318218706077651
104,100,10,20,5,0.2504028855001225
105,100,10,20,3,0.2663909573957585
106,100,10,20,3,0.25903160338513337
107,100,10,20,3,0.1946734012268922
108,100,8,100,8,0.16785889881396154
109,100,8,100,8,0.33812333286157126
110,100,8,100,8,0.3579598350998233
111,100,8,100,5,0.21463770812584293
112,100,8,100,5,0.11620637238548513
113,100,8,100,5,0.32490266186787803
114,100,8,100,3,0.1849114041971533
115,100,8,100,3,0.12882389383096443
116,100,8,100,3,0.12639050847467254
117,100,8,60,8,0.25422463234927917
118,100,8,60,8,0.31487301388504907
119,100,8,60,8,0.137869686611435
120,100,8,60,5,0.1817815035407306
121,100,8,60,5,0.16035371134329957
122,100,8,60,5,0.10551735418026938
123,100,8,60,3,0.16307504322619465
124,100,8,60,3,0.10485971953218792
125,100,8,60,3,0.10146998579011243
126,100,8,20,8,0.3038222649249068
127,100,8,20,8,0.23727697608937995
128,100,8,20,8,0.5106058508596
129,100,8,20,5,0.14834265511112604
130,100,8,20,5,0.2447115201829818
131,100,8,20,5,0.2130561412038172
132,100,8,20,3,0.21392381815403178
133,100,8,20,3,0.3212374579052479
134,100,8,20,3,0.19787649893585374
135,100,4,100,8,0.3593396385423621
136,100,4,100,8,0.326138534545027
137,100,4,100,8,0.17241917609730187
138,100,4,100,5,0.32180302402777977
139,100,4,100,5,0.1510217566348133
140,100,4,100,5,0.1670739922015106
141,100,4,100,3,0.1423913951069988
142,100,4,100,3,0.10039813120506312
143,100,4,100,3,0.12703249778817682
144,100,4,60,8,0.19509906731328072
145,100,4,60,8,0.2937277575726049
146,100,4,60,8,0.23382233694634016
147,100,4,60,5,0.38968301504545394
148,100,4,60,5,0.1087767168204164
149,100,4,60,5,0.1792069004739032
150,100,4,60,3,0.14677430767762034
151,100,4,60,3,0.17098912678397538
152,100,4,60,3,0.14975260406294288
153,100,4,20,8,0.3770680590941195
154,100,4,20,8,0.22722354139152326
155,100,4,20,8,0.5305353467078769
156,100,4,20,5,0.1608425161164058
157,100,4,20,5,0.4756055644860393
158,100,4,20,5,0.1341830998659134
159,100,4,20,3,0.19560528653319817
160,100,4,20,3,0.35578890844133865
161,100,4,20,3,0.1841473559903748
162,60,10,100,8,0.36873185089979954
163,60,10,100,8,0.1660806253901002
164,60,10,100,8,0.4850510535433012
165,60,10,100,5,0.29436985459941173
166,60,10,100,5,0.1335942487597291
167,60,10,100,5,0.21975624776061845
168,60,10,100,3,0.17796910876593394
169,60,10,100,3,0.16800758094466917
170,60,10,100,3,0.12242118882782319
171,60,10,60,8,0.2439598056177298
172,60,10,60,8,0.2188620667752118
173,60,10,60,8,0.4202268666423419
174,60,10,60,5,0.1913604932831742
175,60,10,60,5,0.21375647378943816
176,60,10,60,5,0.5487041041912402
177,60,10,60,3,0.1428028725044072
178,60,10,60,3,0.25515286694144645
179,60,10,60,3,0.13143212869763374
180,60,10,20,8,0.3123636038875894
181,60,10,20,8,0.3877591248492748
182,60,10,20,8,0.1911421520745053
183,60,10,20,5,0.2937607191372336
184,60,10,20,5,0.2541304805386833
185,60,10,20,5,0.3106205059324994
186,60,10,20,3,0.2987024457308284
187,60,10,20,3,0.24698819189566618
188,60,10,20,3,0.20717848177780124
189,60,8,100,8,0.24267236735911396
190,60,8,100,8,0.21296421264172993
191,60,8,100,8,0.30582427211544094
192,60,8,100,5,0.22954042018418425
193,60,8,100,5,0.2321254823640076
194,60,8,100,5,0.13286506913821486
195,60,8,100,3,0.1441518979593676
196,60,8,100,3,0.21904558797328794
197,60,8,100,3,0.09947114306337693
198,60,8,60,8,0.34816181833981075
199,60,8,60,8,0.28918493373526466
200,60,8,60,8,0.41484824748819366
201,60,8,60,5,0.28462613731274133
202,60,8,60,5,0.2996740521133295
203,60,8,60,5,0.17323280202553554
204,60,8,60,3,0.26956498252543787
205,60,8,60,3,0.22052001212424005
206,60,8,60,3,0.284134905916803
207,60,8,20,8,0.4218775839136358
208,60,8,20,8,0.5240909966983294
209,60,8,20,8,0.5362069624969188
210,60,8,20,5,0.16097522971400044
211,60,8,20,5,0.24312147334740872
212,60,8,20,5,0.1969784683383563
213,60,8,20,3,0.2172858673229552
214,60,8,20,3,0.19295557455448378
215,60,8,20,3,0.1662781567696263
216,60,4,100,8,0.2255367836887725
217,60,4,100,8,0.40262730654917267
218,60,4,100,8,0.23132899390424
219,60,4,100,5,0.17203625163052513
220,60,4,100,5,0.13926286590203904
221,60,4,100,5,0.15545306510346776
222,60,4,100,3,0.20483141536252542
223,60,4,100,3,0.15065613367229874
224,60,4,100,3,0.1445335076574017
225,60,4,60,8,0.3397714745754387
226,60,4,60,8,0.33054058131767294
227,60,4,60,8,0.22922263027114026
228,60,4,60,5,0.23380444468984826
229,60,4,60,5,0.24481400479263032
230,60,4,60,5,0.236044590832556
231,60,4,60,3,0.2353895311815697
232,60,4,60,3,0.19801644922087067
233,60,4,60,3,0.1875180445392342
234,60,4,20,8,0.18498485430813671
235,60,4,20,8,0.20919592460693673
236,60,4,20,8,0.29155661582070236
237,60,4,20,5,0.29916157098541485
238,60,4,20,5,0.17971932850995956
239,60,4,20,5,0.28059406710021634
240,60,4,20,3,0.31517472423133797
241,60,4,20,3,0.2523210949934365
242,60,4,20,3,0.1753188209279495
